no,no,no,no,no,no,no,no,no,no,no,no,no
-9.32846741,55.25747484,26.12670213,7.26800218,-24.96633001,25.12631888,4.747138964,21.71215915,-7.266246758,-8.928119623,-0.180304808,25.42976221,31.63191026
-13.89574409,42.49240069,29.76023666,9.905659146,-26.16920422,25.13717447,3.980033794,22.04318171,-7.111901725,-8.919431393,-0.176421433,25.43206827,31.63194812
4.003932191,23.93019879,31.27773324,11.96645846,-26.83614368,24.99585157,3.178870125,22.35632322,-6.956402992,-8.910659262,-0.172512181,25.43436409,31.63198643
13.3004419,7.084822894,31.08734802,13.28835189,-26.90067632,24.69294986,2.34709429,22.6511269,-6.799752961,-8.901804121,-0.168577211,25.43664967,31.63202519
3.263307831,-3.889415592,29.55401368,13.76679674,-26.31982462,24.22825037,1.488183784,22.92713596,-6.641954036,-8.892866863,-0.164616681,25.43892503,31.6320644
-5.202691643,-15.87346084,26.96161271,13.43834977,-25.11747134,23.60834513,0.605616105,23.18389362,-6.483008619,-8.883848379,-0.160630751,25.44119018,31.63210405
-0.229559337,-33.01147583,23.5599843,12.40228609,-23.34916247,22.84281436,-0.29713125,23.42094308,-6.322919113,-8.874749561,-0.156619579,25.44344515,31.63214416
8.410072692,-48.5269943,19.59486638,10.77582818,-21.08476852,21.94171668,-1.216580785,23.63782757,-6.161687922,-8.865571303,-0.152583325,25.44568994,31.63218472
10.00331387,-54.22329148,15.31199685,8.679262273,-18.39722373,20.9151107,-2.149255002,23.8340903,-5.999317447,-8.856314494,-0.148522149,25.44792458,31.63222572
2.158752511,-45.29478494,10.88677713,6.232963279,-15.35955103,19.77305506,-3.091676405,24.00927447,-5.835810093,-8.846980027,-0.144436208,25.45014908,31.63226718
-13.46593363,-21.98363563,6.213262503,3.557306108,-12.04477336,18.52560837,-4.040367496,24.16292332,-5.671168261,-8.837568795,-0.140325663,25.45236346,31.63230908
-6.675115793,11.10038102,1.115171761,0.772665668,-8.525913624,17.18282926,-4.991850779,24.29458004,-5.505394355,-8.828081689,-0.136190672,25.45456773,31.63235143
